box,slot,mouse_num,organ,stain,patho assigned?,definitive,NED <150 d,TNP,notes,Category 1,Category 2,aod,has_scan,scan box,sb slot,cassette position,confirm can/should scan,not scanned reason,renamed,resultant geno,exclude,coh,gnotes.2,tumor1 ,t1 size (mm2),Annotated mrxs?,grouping 2,tumor2,t2 size (mm2),grouping,Sheri Notes,gnotes.1,1st note date (G),2nd note,note,box_label,blue,cyan,yellow,orange,green,black,pink,send for RNA?,hypercellular,necrosis,Pseudopalisading quality,PPN,glomeruloid mvp,whorls,high N/C,marked pleomorphism,pleomorphic/myxoid,Super high MF,Elevated MF,abnormal mitoses,rosenthall-ish fibers,strong rosettes,weak rosettes,entrapped neurons,diffuse HC,foamy cytoplams,giant cells,fibrillary appearance,B-type,lipo accumulation,hylenized,pomegranate/structural,adenoid,lymphocyte infiltration,ned,Grade (H/L),location
NFG06,092,23021,B,S100,,1,,,,,,93,Y,SB07,4,5,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,"Very positive, similar areas in tumor outside brain. But more diffuse positivity. ",,,,,,,,,"Very positive, same areas. ",9/11,,,nf1 ntva attempt at s100 and ki67 (did not work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,012,23269,B,HE,,1,,,,NED,,150,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"diffuse infiltration, No obvious dense accumulations, maybe small B-type with very few cells. Lipo/neurocystic quality. Low-grade tumor outside brain with rosentahll-fiber/eiosiniphillic cell quality. ",ts,,,,,,,,"AA, maybe small areas. ",9/11,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
NFG03,013,23270,B,HE,,1,,,,3.1,,87,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Low grade appearing with diffuese infiltration, hypercellular. 1 small tumor outside of parenchyma. ",ts,,,,,,,Very small tumor (next to brain).  Similar to 23293,"AA, maybe grade 1? Plus small tumor outside brain, maybe grade 1-2. ",9/11,,original,Nf-1 N-TVA original H&E 22841-25084,,,2,1,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,
NFG06,021,23270,B,KI67,,1,,,"Diffuse positivity, but definitely positive cells. ",,,87,Y,SB07,5,6,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,Small areas of slightly elevated index near edges of brain. ,,,,,,,,,"Small areas of Ki67+, plus isolated cells positive in areas of potential AA. ",9/11,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,022,23270,B,PERK,,1,,,needs rescan a/o 3/14/24,,,87,Y,SB07,6,7,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,Same as above with generally more diffuse appearance. ,,,,,,,,,Same as above. ,9/11,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,014,23271,B,HE,,1,,,,5.N,,107,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"1 area of similar lipo quality as previous. 2 areas at tissue interfaces with extreme hyperchromasia. Plus 1 large area of PPN, with lipomatous quality, and many clacufications. High grade with very unique appearance. ",,,,,,,,,"Areas of necrosis, Area of PPN inside brain Grade 3-4. ",9/11,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,015,23286,B,HE,,0,,,,3.1/2?,,99,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Obvious diffuse hypercellularity, with multiple small, concentrated region similar in quality to B, but slightly larger. ""Lipomatous"" quality, but edges aren't quite as cleas as expected, seen similar in other samples (snapped). Other brain areas similar in quality to previous, with higher cellularity, and EN/PNS. ",,,,,,,low grade diffuse with PNS/EN,,Area of necrosis. AA. PPN outside brain. Grade 2?,9/11,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,016,23287,B,HE,1,1,,,,1.2.NOS,,87,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Hypercellular, high grade tumor with marked pleomorphism and hypercellularity growing outside brain and displacing brain area. Some features similar to GBM; could be GBM or HGAP. Rosenthall fibers. Some evidence of diffuse, infiltrating glioma cells as noted in previous samples, but not obviously high grade as in the tumor growing outside the brain tissue. ",1.01,21,,,,,,,"AA, N, inside brain. Grade 2 tumor? displacing brain. Possible start of PPN. ",9/11,,,Nf-1 N-TVA original H&E 22841-25084,1,,1,,,,,,1,1,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
NFG05,031,23287,B,NF1,,1,,,,,,87,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/11,,nf1 ab 1:300,nf1 optimization ab slides tva- brains 9/1/20 ZL / nf1 big tumor slides #1 + tva -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,013,23287,B,PERK,,1,,,,,,87,Y,SB07,7,8,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,"Inside brain tissue, diffuse infiltration of perk-stained cells, check images. Positive cells concentrated around areas of tumor infiltration, and in areas with lipomatous quality. In extracranial tumor, positive staining many surrounding enlarged cells in tumor. ",,,,,,,,,Small pockets of perk + cells. Large tumor with medium-low expression of perk. ,9/11,,,stained ihc slides perk and nf1 for nf1 project ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,086,23287,B,S100,,1,,,,,,87,Y,SB07,8,9,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,"Some areas of the extracranial tumor show extracellular staining in moderate-high positivity. Other areas show more focal positity in tumor. Inside brain, staining is diffuse in some areas of possible injury/invasion. ",,,,,,,,,tumor tissue very S100+,9/11,,,nf1 ntva attempt at s100 and ki67 (did not work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,017,23288,B,HE,1,1,,,,2.4.NOS,,71,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Tumor growing outside brain, high MF. Additional adrea of interest with large accumulation of rosenthal-like fibers, intermixes with large accumulations of lipo-like quality, plus B-like accumulations.",1.03,57,,,,,,"Tumor growing outside brain, high MF. Similar to 26024",Grade 4 massive tumor outside brain. ,9/11,,tumor outside skull,Nf-1 N-TVA original H&E 22841-25084,4,1,2,,,,,,1,,1,,,1,1,,1,1,,,,,,,,,,1,,,,,,,,,ob
NFG05,027,23288,B,NF1,,1,,,,,,71,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/11,,nf1 ab 1:300,nf1 optimization ab slides tva- brains 9/1/20 ZL / nf1 big tumor slides #1 + tva -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,010,23288,B,PERK,,1,,,,,,71,Y,SB07,9,10,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,"1 areas on edge of external tumor with elevated perk , otherwise negatve",,,,,,,,,NA,9/11,,no primary ab control,stained ihc slides perk and nf1 for nf1 project ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,083,23288,B,S100,,1,,,,,,71,Y,SB07,10,11,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,NA,9/11,,no primary ab neg control,nf1 ntva attempt at s100 and ki67 (did not work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,018,23289,B,HE,,0,,,,3.1,,75,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Diffusely hypercellular. Areas of dense cellularity similar to B. Rosette-like formations in areas adjacent to primary B lesions. ,,,,,,,,,AA.,9/11,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,019,23290,B,HE,,0,,,Low-grade/benign nerve sheath tumor,1.1,,99,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Similar to previous with slightly more pronounced area of diffuse hypercellularity, and possible multivascualr proliferation (see image), with tumor cells surrounding blood vessels. ",,,,,,,low grade diffuse with PNS/EN. Maybe its own sub-category,,AA. Small low-grade tumors outside Brain. Small area of PPN. Grade 1 or 2?,9/11,,,Nf-1 N-TVA original H&E 22841-25084,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
NFG03,020,23291,B,HE,,1,,,,3.2,,85,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Lipo quality siimilar to other samples, plus addition of scar-tissue like areas integrated with lipo quality. Lesions similar to B, in normal areas plus additional areas outside of brain intersections. Starting formation of rosettes, some areas with diffuse hypercellularity. ",1.04,5,,,,,,,"Granules. Pleomorphic, Lipom quality. High grade, grade 3. Fibrillaric. Pilloid features. Necrosis. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,,1,,1,2,,,,1,,,,,1,1,,1,,,,,,,1,1,,,,,,,,,,,,
NFG06,093,23291,B,PERK,,1,,,,,,85,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Small areas of light positivity.,,,,,,,,,Small areas of light positivity.,9/13,,,nf1 glioma ki67 perk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,083,23291,B,PTEN,,1,,,,,,85,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"infiltration of ko pten cells throughout brain, also  in infiltrating tumor areas. ",,,,,,,,,Small light positive. ,9/13,,1632182400,nf1 glioma serial H&E unstained + pten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,021,23292,B,HE,,0,,,,3.1,,143,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"very diffuse if anything, small B-type areas along creases with possible adenoid morphology. Lipo area, plus some areas of weakly associated pseudorosettes. ",,,,,,,,NED,Perivascular aggregations. Grade 2. Pseudorosettes. ,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,022,23293,B,HE,,0,,,,4.N.NOS,,82,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"similar to previous samples with lipo, diffuse hypercellularity. Also B-type area, plus 2 small extracranial tumors. ",ts,,,,,,,Very small tumor (next to brain),"Piloid, fibrillaic. Grade 2-3. Pseudorosettes. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,1,4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
NFG06,024,23293,B,KI67,,0,,,,,,82,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Confirm areas of high index. ,,,,,,,,,Confirm areas of high index. ,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,025,23293,B,PERK,,0,,,,,,82,Y,SB07,11,12,1,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,some points in extra-cran tumor. ,,,,,,,,,Some areas of positivity. ,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,023,23294,B,HE,1-TNP,1,,1,,3.2,1.4.OB,107,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Lipo quality plus tumor at brain-outer interface with giant and small cell mix. Hypercellular areas, with rosette-like quality and entrapped neurons, adjacent to large area of necrosis. Additional area of higher hypercellularity with pseudorosettes, and neoplastic cells of roughly uniform size and shape, with slight pernuclear haloes. This is another unique type of tumor.  ",1.05,2.2,,,,,,low grade with rosette morphology similar to 23527,"Pseudorosettes. MF, PM. Low grade glioma or astrocytic. ",9/13,,tumor,Nf-1 N-TVA original H&E 22841-25084,1,1,1,,,,,,1,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,
m,m,23294,B,KI67,,1,,1,,,,,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,094,23294,B,PERK,,1,,1,,,,107,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Some small pockets of elevated perk. However, areas of elevated perk do not overlap with kO areas of pten as noted in other slide, suggesting that tumor type is not indicative of nf1-loss. ",,,,,,,,,NA,9/13,,,nf1 glioma ki67 perk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG04,084,23294,B,PTEN,,1,,1,,,,107,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"PTEN staining shows presence of many pten negative cells throughout the brain, in accumulations noticed on HE and elseware diffusely infilitrative throughout brain tissue. In noted areas in HE, PTEN clearly shows neoplastic cells entrapping non-neoplastic neurons. Also possible areas of infiltraing MVP. ",,,,,,,,,NA,9/13,,,nf1 glioma serial H&E unstained + pten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,15,23294,T,HE,,1,,1,,2.4.NOS,,107,Y,SB05,1,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,024,23295,B,HE,,1,1,1,,NED in brain,2.4.NOS,113,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"May need to exclude from HE characterizations as either brain or slide prep quality very poor. Many areas of missing tissue and/or regression. Can see obvious areas similar to B, and lipomatous areas. ",,,,,,,,,Low grade?,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,16,23295,T1,HE,,1,,1,,2.4.NOS,,113,Y,SB05,2,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,17,23295,T2,HE,,1,,1,,,,113,Y,SB05,3,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,18,23295,T3,HE,,1,,1,,,,113,Y,SB05,4,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,025,23296,B,HE,,0,,,,3.1,,82,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,B-type accumulations. Plus diffusely hypercelluar. ,,,,,,,,,Low grade,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,026,23297,B,HE,,1,,,,3.1,,138,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,2,1,"Hylenized vessels tumor in interstitial space.  Plus small dense areas along creases with possible adenoid morphology/ type B. Small tumor outside brain with myxoid morphology, giant cells. ",ts,,,,,,,,Low grade,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,
NFG03,027,23298,B,HE,1,1,,,,3.2,,94,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Areas of diffuse hypercellularity with EN. Additional areas with hylenized stroma. Large areas of lipo. ,1.06,2.5,,,,,,low grade with rosette morphology,"Pilocytic, Pleomorphic, Anaplastic, atypia. Grade 4? MF. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
NFG03,028,23299,B,HE,,0,,,,,,124,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,2,xc,"B type, plus areas with EN, plus pseudo-rosettes and diffuse hypercellularity. ",,,,,,,,,Low grade,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,029,23300,B,HE,,0,,,,3.1,,68,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Areas similar to B accumulations. Areas with lipo.,,,,,,,,NED,1 area of high grade. Mostly diffuse low grade. ,9/13,10/,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,030,23301,B,HE,,1,,,,3.2,,103,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Very similar in quality to 22921. Low grade, diffuse glioma. Perineuronal satelettosis is easier to visulize in this sample. Also one brain area with lipomatous quality. ",,,,,,,low grade diffuse with PNS/EN,,"Entrapped neurons. Low grade, low/no MFs. Pilocytic features. ",9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,039,23467,B,HE,1,1,,,,1.4.NOS,,107,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"tumor cell accumulations. Type B seeming. Perivascular aggregations. One brain slice is entirely encapsulated in high-grade GBM-appearance, with very high MFs. One area with astrocyte-appearing. ",1.07,1.5,,,1.01.3,37,,"tumor growing outside brain, high MF. also small tumor in brain",Sarcomatous component. Pseudorosettes. Grade 4. ,9/13,,,Nf-1 N-TVA original H&E 22841-25084,2,,1,,2,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,
NFG03,040,23468,B,HE,,1,,,,3.1,,128,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Similar to group B, in crease areas with adenoid-like morphology. Plus lipo areas throughout brain. Additional tumor areas outside brain, with hypercellularity and giant cells. ",ts,,,,,,,,Diffuse low grade. ,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NFG03,041,23469,B,HE,,0,1,,,NED?,,87,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Lipo quality similar to previous samples. Diffuse hypercellularity in some areas, with possible EN, beginnings of rosette formation. Concentrated areas similar to B. ",,,,,,,,,Possible low grade PA. ,9/13,,,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,042,23470,B,HE,,0,,,,1.2.NOS? Possible 3.2,,70,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Area with rosenthall-like fibers, plus areas with lip accumulation. 1 small areas with hylenization. 1 small area of B-like but round and separated from edges of parenchyma. Similar to ""infiltrating astrocytoma grade II"". ",,,,,,,,,low grade PA,9/13,,arrow,Nf-1 N-TVA original H&E 22841-25084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,043,23522,B,HE,,1,,,,3.1,,67,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,Area of lipo. Plus area of B and pseudo-rosettes. Diffusely hypercellular. Areas with granules. Area with giant cells and accumulation of hyperchromic cells. ,ts,,,,,,B,,Low grade,9/13,10/10,,Nf-1 N-TVA original H&E 22841-25084,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NFG03,044,23523,B,HE,,1,,,,3.2,5.N,57,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Areas of Hypercellularity, EN. Several HC areas w rosette-like. areas of B-like. Additional areas with tight pseudo-rosettes.  ",ts,,"could be an important sample to analyze large brain area. Only small tumor area, but age of death was very early. ",,,,B?,,Low grade,9/13,10/10,,Nf-1 N-TVA original H&E 22841-25084,,,1,,1,2,,,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,
NFG06,027,23523,B,KI67,,1,,,,,,57,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"index is mostly normal or diffusely very mild-positive. At least 2 small areas areas with distinctly elevated index, and some additional tumor cells in the creases of tissue with high-positive tumor cells. Tumor outside brain has no elevated ki67.",,,,,,,,,Moderately high proliferative index.,9/13,10/27,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,028,23523,B,PERK,,1,,,,,,57,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"very diffuse tumor cells with elevated perk levels, similar to ki67 obs. Of 2 concentrated areas of ki67, 1 also has elevated perk, and 1 does not. Additional small areas outside brain with lipo-esque features, and concentrated rosentahll fibers. ",,,,,,,,,NA,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG03,045,23524,B,HE,,0,,1,,3.1 in brain,4.N.NOS,84,Y,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Similar to 26308, with addition  of 2 small low-grade appearing lesions. ",ts,,,,,,,,Low grade,9/13,,original,Nf-1 N-TVA original H&E 22841-25084,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
NFG06,030,23524,B,KI67,,0,,1,,,,84,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,"Small areas of elevated index around ""B"" lesions. ",,,,,,,,,Confirm areas of high index. ,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG06,031,23524,B,PERK,,0,,1,,,,84,,,,,,,,nf1 KO; pten KO; ink KO; atrx KO,,1,no obvious areas of increased perk. ,,,,,,,,,NA,9/13,,,"nf1 non-gliomas ntva h&e, ki67, perk, unstained",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFG16,19,23524,T-eye,HE,,0,,1,,4.4.AD,,84,Y,SB05,5,,,,Y,nf1 KO; pten KO; ink KO; atrx KO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
