GeneID	Length	X23908X10_20240412_LH00227_0067_A22KHYJLT3_S27_L003.resultsAligned.sortedByCoord.out.bam
100042966	2293	0
100042968	924	0
100042971	966	0
100042976	921	0
100042982	701	1
100042988	2181	0
100042996	966	0
100043002	728	32
100043013	966	0
100043016	921	0
100043019	945	0
100043025	918	0
100043029	921	0
100043033	924	0
100043034	4425	3
100043037	966	0
100043040	3300	13
100043043	924	0
100043051	924	0
100043057	1538	0
100043058	966	0
100043059	1368	13
100043061	921	0
100043065	1558	0
100043067	924	0
100043070	1569	0
100043072	1851	8
100043074	2419	3
100043079	945	0
100043083	918	0
100043088	921	0
100043089	2800	15
100043092	1594	0
100043101	930	0
100043102	2428	4
100043103	915	0
100043108	1770	0
100043123	3472	2
100043125	901	5
100043132	677	0
100043133	3581	22
100043143	61016	1556
100043147	1984	3
100043150	674	0
100043169	1456	0
100043176	1130	3
100043177	341	0
100043180	579	0
100043188	2247	0
100043189	1363	15
100043194	741	0
100043197	338	0
100043200	963	0
100043202	343	0
100043204	364	0
100043207	3586	0
100043213	3449	273
100043214	364	0
100043216	989	0
100043218	341	0
100043224	914	0
100043227	927	0
100043229	632	2
100043231	910	0
100043232	2644	0
100043235	910	0
100043239	910	0
100043245	1709	0
100043247	914	0
100043251	1400	0
100043254	860	0
100043255	2212	0
100043257	1146	385
100043270	344	0
100043272	3053	151
100043274	340	0
100043277	1370	11
100043282	343	0
100043292	1258	0
100043300	1243	0
100043305	1119	13
100043308	361	0
100043309	445	0
100043314	2137	6
100043315	1006	5
100043322	344	0
100043324	1230	64
100043326	367	0
100043332	1387	0
100043335	1610	0
100043381	10512	102
100043387	1621	14
100043403	4104	130
100043407	680	7
100043416	2857	7
100043424	4492	57
100043434	936	30
100043450	1679	1
100043456	1777	21
100043461	2324	19
100043467	2934	0
100043468	5809	154
100043474	1091	4
100043488	3573	15
100043489	3960	104
100043497	1451	2
100043507	491	112
100043508	1570	114
100043513	520	0
100043515	2276	0
100043523	921	0
100043536	924	0
100043566	1594	0
100043569	894	0
100043580	713	0
100043582	906	0
100043595	495	0
100043596	924	0
100043597	10904	1326
100043600	1224	2
100043604	2403	0
100043606	1976	0
100043609	979	0
100043614	924	0
100043617	1056	0
100043627	600	0
100043629	701	0
100043636	1408	2
100043638	1517	0
100043644	532	0
100043645	1594	0
100043665	1724	0
100043667	924	0
100043682	2628	6
100043684	3723	0
100043686	3723	0
100043688	3723	0
100043695	1761	31
100043706	1080	1
100043711	1185	0
100043721	876	1
100043726	1090	0
100043729	775	15
100043757	15329	18
100043761	11672	248
100043765	530	1
100043766	2136	64
100043767	577	0
100043772	6846	63
100043793	1283	17
100043805	725	53
100043812	942	5
100043813	374	21
100043817	943	0
100043820	14545	0
100043827	526	0
100043831	5000	3
100043836	517	0
100043842	520	0
100043856	520	0
100043860	419	0
100043861	1170	0
100043864	291	0
100043868	503	0
100043871	699	0
100043885	1178	0
100043899	1452	0
100043902	7127	42
100043904	801	0
100043910	2106	4
100043911	4466	84
100043914	1872	9
100043915	10723	104
100043920	7009	25
100043946	1412	0
100044193	4700	3
100044236	2002	0
100044509	1400	24
100044526	669	0
100045066	1470	0
100045125	5653	4
100045469	6738	10
100045653	2564	7
100045778	1541	1
100045792	3610	9
100046078	207	0
100046950	1076	0
100047123	1901	5
100047133	858	4
100047482	3820	31
100047671	1377	0
100048534	7998	52
100048644	322	0
100048658	2659	69
100048701	1006	0
100048884	987	1
100048895	3428	2
100048985	1184	6
100049077	723	0
100049161	2001	0
100049166	2913	22
100049545	71	0
100049546	62	0
100049547	95	0
100049548	65	0
100049549	72	0
100049710	83	0
100049711	82	0
100049712	84	0
100049713	69	0
100049714	80	0
100049715	82	0
100061	3966	32
100066	2618	0
100072	31109	935
100073351	2867	40
100087	1556	29
100088	2327	45
100090	3168	22
100093700	3835	54
100093714	3220	29
100101457	2013	3
100101484	927	5
100101486	332	0
100101488	286	0
100101489	213	0
100101491	342	0
100101806	5475	671
100101807	3863	107
100101919	13009	28
100101934	218	0
100101936	243	13
100101939	347	0
100101940	332	0
100101941	345	0
100101942	348	0
100102	3512	11
100113364	116	2
100113365	5394	117
100113394	1493	1
100113398	1411	11
100113411	141	0
100113412	331	0
100113413	368	0
100113414	331	0
100113481	347	1
100114900	306	0
100114901	345	0
100114902	9	0
100114904	16	0
100115376	51	0
100118398	59	0
100121	9131	428
100123473	1105	1
100124287	72	0
100124288	53	0
100124293	62	0
100124294	63	0
100124295	63	0
100124296	63	0
100124297	63	1
100124333	54	0
100124335	66	0
100124336	66	0
100124337	43	0
100124338	63	0
100124339	59	0
100124340	61	0
100124341	55	0
100124342	61	0
100124343	60	0
100124344	61	0
100124345	57	0
100124346	64	0
100124347	55	0
100124348	61	0
100124349	63	1
100124351	62	1
100124352	60	0
100124353	63	0
100124354	65	3
100124355	58	0
100124356	57	0
100124357	66	1
100124358	57	0
100124359	59	0
100124360	60	0
100124361	65	0
100124362	59	0
100124363	60	0
100124364	57	1
100124365	56	0
100124366	60	0
100124367	60	0
100124368	57	0
100124369	58	0
100124370	61	0
100124371	66	0
100124372	63	2
100124387	61	0
100124388	60	0
100124389	34	1
100124390	57	0
100124391	59	1
100124392	59	0
100124393	58	0
100124395	37	1
100124396	59	0
100124397	62	0
100124398	63	0
100124399	66	1
100124400	29	0
100124431	83	0
100124432	79	1
100124433	77	0
100124435	98	0
100124437	69	0
100124438	75	3
100124439	80	11
100124440	79	0
100124441	81	0
100124442	82	1
100124443	84	1
100124445	94	0
100124446	81	0
100124447	85	1
100124448	87	0
100124449	75	0
100124450	78	3
100124451	78	0
100124452	79	3
100124453	84	1
100124456	81	1
100124457	77	0
100124458	81	0
100124459	85	0
100124460	78	1
100124461	77	1
100124462	76	0
100124463	80	0
100124464	81	0
100124465	96	1
100124466	83	0
100124467	83	0
100124468	85	0
100124469	78	0
100124470	83	0
100124471	79	0
100124473	79	0
100124474	81	1
100124475	94	1
100124476	79	0
100124478	77	0
100124479	78	0
100124480	78	0
100124481	80	0
100124482	102	1
100124483	98	0
100124484	82	3
100124485	82	0
100124486	94	0
100124487	97	0
100124488	79	0
100124489	81	1
100124491	76	2
100124492	76	0
100124493	78	0
100124494	76	2
100124495	80	1
100124496	77	0
100124623	2913	106
100124624	83	1
100124625	83	2
100124626	83	0
100124627	83	0
100124640	84	0
100124641	109	74
100124642	83	0
100124643	83	0
100124649	109	0
100124659	344	0
100124660	344	0
100124661	341	0
100124662	284	0
100124663	347	0
100124664	344	0
100124665	298	0
100124668	90	0
100124670	294	0
100124671	322	0
100124672	372	0
100124673	337	0
100124674	372	0
100124675	340	0
100124676	372	0
100124677	340	0
100124678	346	0
100124679	347	0
100124680	347	0
100124681	344	0
100124682	346	0
100124684	352	0
100124685	335	0
100124686	346	0
100124687	348	0
100124688	347	0
100124689	347	0
100124690	321	0
100124693	334	0
100124694	321	0
100124698	344	0
100124699	335	0
100125246	12	0
100125247	14	0
100125248	48	0
100125249	48	0
100125250	50	0
100125251	51	0
100125252	50	0
100125253	53	0
100125254	46	0
100125255	50	0
100125256	51	0
100125257	49	0
100125258	49	0
100125259	49	0
100125260	48	0
100125261	47	0
100125262	519	0
100125263	520	1
100125339	1649	1
100125586	3764	6
100125594	1120	0
100125929	1575	0
100125931	3781	20
100125933	1944	2
100126034	2928	9
100126203	1971	0
100126224	1648	1
100126226	1757	1
100126227	924	0
100126229	4175	16
100126242	980	2
100126243	1643	8
100126244	2955	3
100126269	731	0
100126431	60	0
100126432	60	0
100126433	60	0
100126434	61	0
100126451	336	0
100126452	352	0
100126454	277	0
100126455	280	0
100126456	368	0
100126457	341	0
100126458	337	0
100126459	350	0
100126460	331	0
100126461	227	0
100126462	334	0
100126463	339	0
100126464	338	0
100126465	344	0
100126466	343	0
100126469	331	0
100126470	334	0
100126471	328	0
100126472	289	0
100126692	3223	0
100126765	1117	0
100126766	1316	0
100126768	1311	0
100126773	1413	0
100126774	1257	0
100126775	375	0
100126776	433	0
100126777	553	0
100126778	901	0
100126779	646	0
100126795	1951	4
100126824	1225	0
100127111	126	12
100127433	5442	1
100129	4037	80
100134861	4527	0
100134990	785	1
100135654	830	0
100135657	648	0
100141474	2682	40
100151693	1325	0
100155	6433	18
100163	4352	24
100165	864	5
100169	8465	186
100169864	1187	0
100169868	2704	38
100169871	797	8
100169874	1026	11
100169878	719	1
100169889	865	0
100170401	1902	0
100174921	945	0
100177	5284	256
100182	6995	165
100188919	2124	77
100189605	1059	0
100190765	80	0
100191037	902	0
100196896	858	0
100198	7965	97
100201	4681	176
100206	1368	13
100210	1356	23
100213	13586	391
100216343	2806	9
100216455	3018	4
100216474	2320	0
100216530	137	7
100216531	77	1
100216532	68	12
100216533	78	1
100216534	77	25
100216535	42	35
100216536	78	2
100216537	73	3
100216538	76	0
100216539	70	10
100216540	68	4
100217413	71	171
100217414	118	0
100217415	248	0
100217416	112	2
100217417	118	0
100217418	117	3
100217419	134	4
100217420	164	52
100217421	63	2
100217422	98	7
100217423	54	6
100217424	59	0
100217425	61	0
100217426	63	0
100217427	59	3
100217428	63	1
100217429	46	18
100217430	58	0
100217431	59	3
100217432	64	9
100217433	72	2
100217434	84	2
100217435	68	0
100217436	45	11
100217437	56	3
100217438	61	21
100217439	56	0
100217440	62	6
100217441	99	2
100217442	107	13
100217443	66	2
100217444	57	1
100217445	99	4
100217446	65	3
100217447	124	1
100217448	118	0
100217449	113	0
100217450	126	0
100217451	129	7
100217452	59	1
100217453	91	1
100217454	53	1
100217455	62	3
100217456	68	20
100217457	55	1
100217458	98	5
100217459	53	2
100217460	65	8
100217461	94	0
100217462	83	4
100217463	28	7
100217464	113	2
100217465	64	7
100217466	62	19
100217467	101	1
100217468	45	2
100217469	60	0
100226	2320	525
100233175	1162	20
100233207	2476	5
100233208	4725	69
100270707	1878	0
100270744	3527	3
100271704	524	7
100271841	2270	24
100271882	1728	0
100271928	3253	4
100272219	1696	4
100272221	1405	0
100273	5084	235
100286843	3174	0
100294583	1509	0
100294660	424	0
100302498	128	4
100302499	120	7
100302529	60	7
100302565	48	1
100302567	94	3
100302592	87	2
100302593	87	1
100302594	91	3
100302600	48	7
100302601	77	1
100302634	1150	2
100302648	869	33
100302688	1017	0
100302730	9833	913
100302731	96	0
100303644	1909	2
100303645	2232	0
100303646	71	7
100303647	30	77
100303731	2355	37
100303732	3586	23
100303736	119	0
100303738	3954	1
100303740	116	2
100303744	3518	0
100303746	61	1
100303747	124	1
100303751	112	7
100306943	275	163
100306944	205	179
100306945	205	186
100306952	157	0
100306954	132	10
100306955	139	2
100306957	130	0
100310809	2954	36
100310813	136	5
100310872	4945	101
100312470	921	0
100312471	921	2
100312473	951	0
100312474	951	2
100312475	924	0
100312476	921	0
100312477	945	0
100312484	906	0
100312485	939	0
100312948	330	0
100312949	758	0
100312956	1330	1
100312986	643	0
100312987	601	2
100313519	221	79
100313531	4345	7
100313943	121	0
100316663	127	3
100316664	121	2
100316665	121	9
100316667	121	0
100316668	127	0
100316669	120	10
100316670	122	0
100316671	122	0
100316672	121	8
100316673	121	2
100316674	120	0
100316675	121	0
100316676	98	0
100316677	119	0
100316678	80	0
100316679	79	0
100316680	80	0
100316681	78	0
100316682	80	0
100316683	80	0
100316684	83	9
100316685	90	0
100316686	78	0
100316687	67	0
100316688	93	1
100316689	119	3
100316690	90	0
100316693	100	0
100316694	83	0
100316695	73	0
100316697	134	0
100316698	85	0
100316699	85	0
100316700	70	5
100316701	98	0
100316702	96	0
100316703	89	2
100316704	89	0
100316705	54	1
100316706	65	0
100316708	97	0
100316709	78	4
100316710	59	0
100316711	83	2
100316712	108	0
100316713	68	1
100316714	133	0
100316715	106	0
100316716	132	0
100316717	73	1
100316725	75	0
100316727	95	0
100316735	75	0
100316736	88	0
100316737	69	0
100316739	85	0
100316749	120	6
100316751	120	0
100316752	81	0
100316753	88	4
100316756	98	5
100316769	121	0
100316770	121	0
100316772	96	0
100316773	83	0
100316774	63	2
100316775	74	2
100316776	86	0
100316777	94	2
100316778	74	0
100316779	66	0
100316783	122	3
100316784	109	7
100316802	123	1
100316803	122	0
100316804	121	0
100316805	96	1
100316806	119	1
100316807	121	1
100316808	82	0
100316809	80	0
100316810	81	0
100316811	84	1
100316812	93	2
100316814	79	0
100316815	98	2
100316816	79	0
100316818	121	11
100316819	82	0
100316820	104	3
100316821	82	0
100316827	107	2
100316831	125	1
100316832	79	0
100316833	78	0
100316834	98	1
100316839	120	0
100316840	83	0
100316841	112	0
100316903	4513	3
100316932	122	20
100317	5490	250
100322896	2905	0
100328588	2301	2
100336	2290	94
100340	2146	7
100342	2288	1
100359413	403	12
100379095	4181	8
100379145	184	16
100379610	1243	0
100380944	1802	53
100382	2745	37
100383	2800	131
100384868	4622	0
100384890	884	0
100415784	1829	0
100415785	1096	0
100415787	2953	4
100415901	1536	2
100415902	1988	0
100415912	1075	0
100415914	757	0
100415915	1852	2
100415916	1491	0
100416360	979	0
100416477	2958	21
100416706	4806	98
100416830	1098	0
100416956	3626	2
100417125	2506	0
100417434	1255	8
100417514	2658	0
100417675	4528	1
100417829	4348	9
100417831	4357	9
100417973	729	5
100418302	1725	1
100434	8005	1611
100462664	1076	0
100463512	334	132
100463519	1424	0
100465	6266	57
100470	1958	1
100473	3655	0
100494	3106	84
100499512	65	0
100499513	84	0
100499514	82	0
100499517	83	3
100499518	77	0
100499519	126	5
100499521	131	0
100499523	102	0
100499526	71	0
100499528	78	1
100499529	58	0
100499530	80	17
100500713	1684	5
100502590	953	2
100502592	1622	0
100502597	1040	0
100502601	870	0
100502602	1165	0
100502619	1498	10
100502624	1786	1
100502630	1090	4
100502635	5505	0
100502636	1435	26
100502643	1874	0
100502653	1157	3
100502661	5066	105
100502670	9233	22
100502680	1799	39
100502694	1848	0
100502695	1187	1
100502698	6998	429
100502700	1332	10
100502723	1074	0
100502727	550	0
100502732	12716	55
100502734	2493	36
100502736	998	1
100502742	747	4
100502745	464	2
100502764	713	2
100502766	2348	64
100502803	807	0
100502819	1043	0
100502820	658	10
100502825	753	67
100502829	4823	6
100502831	854	0
100502834	418	0
100502841	12083	329
100502842	758	0
100502846	7575	3
100502849	765	0
100502861	5456	9
100502865	919	0
100502868	5486	6
100502871	2238	1
100502874	5523	64
100502876	8336	24
100502880	2951	0
100502887	975	0
100502888	2572	0
100502896	1240	0
100502917	2453	0
100502920	1230	0
100502921	399	0
100502923	1450	0
100502924	1237	0
100502926	428	0
100502932	2940	2
100502933	3112	32
100502936	3394	0
100502940	1592	0
100502941	1913	0
100502942	907	1
100502945	2306	24
100502946	3172	4
100502950	1200	0
100502953	397	0
100502955	1577	0
100502959	627	0
100502967	2632	0
100502973	1701	1
100502982	1993	7
100502985	1966	3
100503000	1947	48
100503002	10443	36
100503003	2320	14
100503007	2682	18
100503014	870	3
100503019	2707	1
100503021	1861	9
100503033	2994	0
100503036	388	0
100503040	2530	75
100503041	6434	11
100503043	9149	644
100503044	2759	14
100503048	942	0
100503068	5126	2
100503072	2594	0
100503074	474	0
100503082	903	0
100503085	7408	89
100503099	2688	1
100503104	2765	11
100503106	751	2
100503117	1204	0
100503120	778	8
100503125	524	1
100503142	2765	5
100503147	1609	6
100503157	633	9
100503166	483	8
100503167	2616	1
100503175	841	5
100503178	2028	70
100503184	1366	5
100503185	8291	266
100503190	1025	0
100503197	2622	1
100503199	626	31
100503230	3086	0
100503240	4161	2
100503242	516	0
100503248	676	0
100503265	2856	12
100503272	784	7
100503280	1688	4
100503289	1355	0
100503292	3495	22
100503307	1379	2
100503311	1127	1
100503323	7334	11
100503332	2037	2
100503337	664	0
100503338	2978	36
100503353	3382	78
100503355	3644	4
100503361	1400	5
100503368	1048	0
100503378	4906	21
100503380	1054	41
100503384	10648	50
100503386	3037	11
100503388	805	0
100503390	1673	3
100503392	1788	1
100503393	3089	15
100503399	3711	3
100503427	3977	3
100503434	1543	0
100503447	1124	0
100503460	489	1
100503468	1781	5
100503469	640	16
100503470	1220	0
100503471	993	0
100503474	1199	0
100503481	1729	0
100503486	936	0
100503490	510	1
100503495	2560	0
100503496	1776	0
100503498	1319	2
100503518	1257	1
